source;target;weight
bbcglasto;freetheirsouls;1
bbcglasto;fetchthecrossbow;2
bbcglasto;ishouldbethere;1
bbcglasto;spurs;3
bbcglasto;heavysausage;1
bbcglasto;glastoburnout;1
bbcglasto;glasonbury;4
bbcglasto;bunchofwierdos;1
bbcglasto;getheroff;1
bbcglasto;gb40;1
bbcglasto;sun;1
bbcglasto;climate;1
bbcglasto;bangbang;1
bbcglasto;sofaglasto;2
bbcglasto;vfest;2
bbcglasto;justsayin;2
bbcglasto;sick;1
bbcglasto;costello;5
bbcglasto;hsts;1
bbcglasto;elviscostello;12
bbcglasto;blindasiam;1
bbcglasto;nationaltreasure;2
bbcglasto;stillgotit;3
bbcglasto;arcticmonkeysglastonbury;1
bbcglasto;arctics;1
bbcglasto;goodtimes;2
bbcglasto;nailedit;2
bbcglasto;infanticide;1
bbcglasto;shipbuilding;1
bbcglasto;johnpeelstage;3
bbcglasto;bbc4;10
bbcglasto;bbc;9
bbcglasto;edl;1
bbcglasto;bigfoot;1
bbcglasto;bittern;1
bbcglasto;pride;4
bbcglasto;poshestfestivalever;1
bbcglasto;stealingaliving;1
bbcglasto;galstofestdrontenlive;1
bbcglasto;hippielife;1
bbcglasto;onecandream;2
bbcglasto;alabamashakes;6
bbcglasto;chelsea;1
bbcglasto;guiltypleasure;1
bbcglasto;wickerman;1
bbcglasto;kakatsitsi;1
bbcglasto;orb;1
bbcglasto;perfect;1
bbcglasto;whatssofunnyaboutpeaceloveandunderstanding;1
bbcglasto;free;1
bbcglasto;really;1
bbcglasto;stones;678
bbcglasto;simplysuperb;1
bbcglasto;stonesglasto;91
bbcglasto;johnnymarr;4
bbcglasto;wimbledon13;2
bbcglasto;nashville;1
bbcglasto;screenshot;3
bbcglasto;bbcdownload;1
bbcglasto;download2014;1
bbcglasto;latitude;1
bbcglasto;shit;2
bbcglasto;primalscream;55
bbcglasto;virtual;3
bbcglasto;immersion;1
bbcglasto;rest;2
bbcglasto;fromthesofa;3
bbcglasto;glasto2013;31
bbcglasto;pyramidstage2pm;1
bbcglasto;strapback;1
bbcglasto;black;1
bbcglasto;fib;1
bbcglasto;fib2013;1
bbcglasto;beauty;15
bbcglasto;thereisaidit;1
bbcglasto;isolation;1
bbcglasto;dancinginthekitchen;1
bbcglasto;mvula;1
bbcglasto;toohot;1
bbcglasto;buzzing;2
bbcglasto;pyramidstage;3
bbcglasto;tinthep;1
bbcglasto;can;2
bbcglasto;fuckoff;2
bbcglasto;rudimental;22
bbcglasto;comfybedatendofthenight;1
bbcglasto;home;1
bbcglasto;curry;1
bbcglasto;weekendoffwork;1
bbcglasto;sofa;1
bbcglasto;beer;2
bbcglasto;wine;2
bbcglasto;comfort;1
bbcglasto;mmbop;1
bbcglasto;hanson;1
bbcglasto;bringbackqueen;1
bbcglasto;therealkingkenny;1
bbcglasto;bbcletdown;1
bbcglasto;sugarman;1
bbcglasto;beacon;1
bbcglasto;magnificent;1
bbcglasto;enriquewalkoffame;1
bbcglasto;summerstampede;1
bbcglasto;parasitic;1
bbcglasto;syphallitic;1
bbcglasto;swastikaeyes;2
bbcglasto;firstworldproblems;1
bbcglasto;epicfail;1
bbcglasto;amaze;2
bbcglasto;alexturnerglasto;1
bbcglasto;basementpeople;1
bbcglasto;epicness;1
bbcglasto;grimupnorth;1
bbcglasto;sob;1
bbcglasto;ftp;1
bbcglasto;pyramid;5
bbcglasto;glastofollowtrain;4
bbcglasto;stage;4
bbcglasto;yesiusedthehashtag;1
bbcglasto;zzzzz;1
bbcglasto;lifegoeson;1
bbcglasto;platenpanel;1
bbcglasto;cas13;1
bbcglasto;justsaying;10
bbcglasto;jft96;1
bbcglasto;billybragg;1
bbcglasto;shitband;1
bbcglasto;hearthedrummergetwicked;1
bbcglasto;popmusicletsgo;1
bbcglasto;fightthepower;7
bbcglasto;facepalm;1
bbcglasto;cantgetenough;1
bbcglasto;chilling;1
bbcglasto;glastonburylive2013;3
bbcglasto;fitbloggin;1
bbcglasto;social;1
bbcglasto;entertainment;1
bbcglasto;fm4u;1
bbcglasto;swoon;1
bbcglasto;sameoldshit;1
bbcglasto;2013yearoftheunderwhelmingfestivalheadliner;1
bbcglasto;chilledout;1
bbcglasto;gorg;1
bbcglasto;ineedsunshine;1
bbcglasto;mavericksabre;8
bbcglasto;soulman;1
bbcglasto;whatadude;1
bbcglasto;massivepetan;1
bbcglasto;keepyourheadup;1
bbcglasto;bassface;1
bbcglasto;mrjohnpeel;1
bbcglasto;noshame;1
bbcglasto;loser;1
bbcglasto;benhowardisourleader;1
bbcglasto;publicenemey;1
bbcglasto;totally;2
bbcglasto;chang;2
bbcglasto;tedium;1
bbcglasto;shouldbethere;1
bbcglasto;awsome;1
bbcglasto;thefear;1
bbcglasto;jealous;8
bbcglasto;followback;1
bbcglasto;retweet;4
bbcglasto;yawn;2
bbcglasto;trustfundfolk;1
bbcglasto;dullestactsever;1
bbcglasto;awhitershadeofbeige;1
bbcglasto;tomodell;3
bbcglasto;bbc3glasto;1
bbcglasto;boomtown;2
bbcglasto;reading;2
bbcglasto;noisewall;1
bbcglasto;crapmusic;1
bbcglasto;cheerup;1
bbcglasto;distraction;1
bbcglasto;upnow;1
bbcglasto;twodoorcinemaclub;11
bbcglasto;perfection;1
bbcglasto;yourfacesoundsfamiliar;2
bbcglasto;itv1;1
bbcglasto;musicalbliss;1
bbcglasto;boss;2
bbcglasto;lovehim;1
bbcglasto;mor;1
bbcglasto;anotherlove;2
bbcglasto;bigmaggie;1
bbcglasto;dattone;1
bbcglasto;facelikeanarse;1
bbcglasto;acoustic;1
